asset,label,type,direction,start,end,days,move_pct,shock_sessions,shock_share_of_move,spy_pct,tlt_pct,headline_themes,narrative,narrative_confidence,origins,prob_up_h7,share_p50_h7_negative,share_consensus_sell,share_consensus_buy,share_signal_long,mean_exposure_pct,exposure_weighted_ret_pct
AAPL,Apple,stock,down,2012-09-19,2012-11-15,57,-24.8,0,-0.0,,,,iPhone 5 supply constraints and the Maps fiasco; margin fears; year-end tax selling,medium,40.0,0.631,0.0,0.0,0.3,1.0,100.0,-24.5
AAPL,Apple,stock,up,2012-11-15,2012-11-26,11,12.2,1,0.61,,,,,,7.0,0.49,0.571,0.0,0.0,0.857,85.7,7.9
AAPL,Apple,stock,down,2012-11-26,2012-12-28,32,-13.6,1,0.46,,,,,,24.0,0.543,0.25,0.042,0.0,0.917,91.7,-6.8
AAPL,Apple,stock,down,2013-01-02,2013-01-25,23,-19.9,1,0.6,,,,,,17.0,0.551,0.176,0.0,0.0,0.882,88.2,-14.6
AAPL,Apple,stock,up,2013-01-25,2013-02-11,17,9.7,0,0.0,,,,,,12.0,0.475,0.333,0.25,0.0,0.917,91.7,7.4
AAPL,Apple,stock,down,2013-02-11,2013-03-04,21,-12.5,0,-0.0,,,,,,15.0,0.458,0.667,0.067,0.0,0.867,86.7,-7.9
AAPL,Apple,stock,up,2013-03-04,2013-03-25,21,10.4,0,0.0,,,,,,16.0,0.556,0.125,0.0,0.25,1.0,100.0,9.8
AAPL,Apple,stock,down,2013-03-25,2013-04-19,25,-15.8,1,0.33,,,,,,19.0,0.485,0.526,0.105,0.105,0.789,78.9,-8.6
AAPL,Apple,stock,up,2013-04-19,2013-05-08,19,18.8,0,0.0,,,,,,14.0,0.512,0.429,0.0,0.0,0.571,57.1,7.1
AAPL,Apple,stock,down,2013-05-08,2013-06-27,50,-14.5,1,0.17,,,,,,36.0,0.504,0.472,0.0,0.278,0.917,91.7,-14.0
AAPL,Apple,stock,up,2013-06-27,2013-08-19,53,29.8,3,0.49,,,,,,37.0,0.581,0.216,0.054,0.486,0.892,89.2,22.3
AAPL,Apple,stock,down,2013-08-19,2013-09-16,28,-11.3,1,0.46,,,,,,20.0,0.662,0.05,0.0,0.7,1.0,100.0,-10.3
AAPL,Apple,stock,up,2013-09-16,2013-12-23,98,27.4,2,0.36,,,,,,70.0,0.56,0.157,0.0,0.243,1.0,100.0,26.9
AAPL,Apple,stock,down,2013-12-23,2014-01-30,38,-12.3,1,0.63,,,,,,26.0,0.55,0.231,0.0,0.115,1.0,100.0,-12.2
AAPL,Apple,stock,up,2014-01-30,2014-11-26,300,70.2,3,0.25,,,,,,210.0,0.589,0.1,0.0,0.214,1.0,100.0,70.1
AAPL,Apple,stock,down,2014-11-26,2015-01-16,51,-10.9,1,0.28,,,,,,35.0,0.603,0.114,0.0,0.2,1.0,100.0,-8.6
AAPL,Apple,stock,up,2015-01-16,2015-02-23,38,26.0,1,0.24,,,,,,25.0,0.665,0.04,0.0,0.64,1.0,100.0,25.2
AAPL,Apple,stock,down,2015-05-22,2015-07-09,48,-9.4,2,0.43,,,,,,33.0,0.671,0.03,0.0,0.515,1.0,100.0,-7.0
AAPL,Apple,stock,up,2015-07-09,2015-07-20,11,10.0,1,0.28,,,,,,8.0,0.569,0.0,0.0,0.125,1.0,100.0,8.9
AAPL,Apple,stock,down,2015-07-20,2015-08-24,35,-21.6,3,0.66,,,,,,26.0,0.437,0.538,0.192,0.0,0.692,69.2,-7.5
AAPL,Apple,stock,up,2015-08-24,2015-11-03,71,18.9,2,0.56,,,,,,51.0,0.361,0.882,0.333,0.0,0.725,72.5,17.1
AAPL,Apple,stock,down,2015-11-03,2016-01-27,85,-23.5,2,0.42,,,,iPhone 6s demand slowdown; first guided year-on-year iPhone decline (26 Jan 2016); China worries,high,58.0,0.533,0.379,0.155,0.207,0.759,75.9,-20.9
AAPL,Apple,stock,up,2016-01-27,2016-04-14,78,20.6,1,0.21,10.6,4.3,,,,55.0,0.461,0.527,0.255,0.055,0.782,78.2,7.2
AAPL,Apple,stock,down,2016-04-14,2016-05-12,28,-18.9,1,0.31,-0.7,0.4,,,,21.0,0.576,0.19,0.143,0.238,0.81,81.0,-16.7
AAPL,Apple,stock,up,2016-05-12,2016-05-26,14,11.1,0,0.0,1.3,-0.7,,,,11.0,0.6,0.091,0.0,0.0,0.727,72.7,10.4
AAPL,Apple,stock,up,2016-06-27,2016-10-25,120,29.2,2,0.38,7.9,-3.9,,,,85.0,0.549,0.306,0.059,0.176,0.906,90.6,15.4
AAPL,Apple,stock,down,2016-10-25,2016-11-14,20,-10.1,2,0.48,1.1,-8.6,,,,15.0,0.633,0.067,0.0,0.2,1.0,100.0,-9.0
AAPL,Apple,stock,up,2016-11-14,2017-05-12,179,48.9,5,0.36,11.5,1.3,,,,124.0,0.558,0.25,0.032,0.04,1.0,100.0,48.5
AAPL,Apple,stock,up,2017-06-16,2017-09-01,77,15.8,1,0.32,2.1,1.0,,,,55.0,0.568,0.2,0.0,0.091,1.0,100.0,14.4
AAPL,Apple,stock,up,2017-09-25,2018-01-18,115,19.5,1,0.2,12.7,-1.8,,,,80.0,0.522,0.45,0.025,0.087,1.0,100.0,19.0
AAPL,Apple,stock,down,2018-01-18,2018-02-08,21,-13.4,1,0.31,-7.7,-3.9,,,,16.0,0.544,0.312,0.0,0.0,0.938,93.8,-13.4
AAPL,Apple,stock,up,2018-02-08,2018-03-12,32,17.6,0,0.0,8.1,0.1,,,,22.0,0.558,0.273,0.0,0.091,0.955,95.5,15.1
AAPL,Apple,stock,up,2018-04-27,2018-10-03,159,44.0,3,0.34,9.9,-2.1,,,,111.0,0.581,0.189,0.027,0.09,1.0,100.0,41.5
AAPL,Apple,stock,down,2018-10-03,2018-11-23,51,-25.5,2,0.39,-9.7,0.5,,Weak iPhone XR demand and supplier cuts; Apple stopped reporting unit sales (1 Nov); rate fears,high,37.0,0.638,0.027,0.0,0.541,1.0,100.0,-24.5
AAPL,Apple,stock,down,2018-12-03,2018-12-24,21,-20.6,0,-0.0,-15.6,5.0,,,,15.0,0.514,0.4,0.0,0.0,0.867,86.7,-12.0
AAPL,Apple,stock,down,2019-01-02,2019-01-03,1,-10.0,1,1.0,-2.4,1.1,,,,,,,,,,,
AAPL,Apple,stock,up,2019-01-03,2019-05-03,120,49.6,3,0.29,20.9,1.0,,,,84.0,0.602,0.167,0.0,0.298,0.964,96.4,43.0
AAPL,Apple,stock,down,2019-05-03,2019-06-03,31,-17.8,1,0.3,-6.6,7.3,,,,21.0,0.531,0.238,0.0,0.238,0.952,95.2,-16.2
AAPL,Apple,stock,up,2019-06-03,2019-07-31,58,22.9,0,0.0,8.8,0.5,,,,42.0,0.611,0.167,0.0,0.286,0.976,97.6,17.2
AAPL,Apple,stock,up,2019-08-05,2020-02-12,191,70.8,0,0.0,19.9,4.3,,,,133.0,0.658,0.023,0.0,0.496,1.0,100.0,69.6
AAPL,Apple,stock,down,2020-02-12,2020-02-28,16,-16.5,1,0.38,-12.2,8.3,,,,12.0,0.569,0.0,0.0,0.25,1.0,100.0,-8.7
AAPL,Apple,stock,up,2020-02-28,2020-03-04,5,10.7,1,0.87,5.7,-0.3,,,,4.0,0.496,0.5,0.0,0.0,1.0,100.0,7.2
AAPL,Apple,stock,down,2020-03-04,2020-03-09,5,-12.1,0,-0.0,-11.7,10.7,,,,4.0,0.471,0.75,0.0,0.25,1.0,100.0,-5.7
AAPL,Apple,stock,down,2020-03-10,2020-03-12,2,-13.0,0,-0.0,-11.5,-3.1,,,,3.0,0.472,0.667,0.0,0.0,1.0,100.0,-2.6
AAPL,Apple,stock,up,2020-03-12,2020-03-13,1,12.0,1,1.0,5.9,-2.3,,,,,,,,,,,
AAPL,Apple,stock,down,2020-03-13,2020-03-23,10,-19.3,0,-0.0,-17.1,7.8,,,,7.0,0.421,1.0,0.143,0.0,1.0,100.0,-11.2
AAPL,Apple,stock,up,2020-03-23,2020-09-01,162,140.3,3,0.18,59.1,-0.6,,"COVID recovery: stimulus, work-from-home demand, the 4-for-1 split and 5G iPhone anticipation",high,114.0,0.726,0.061,0.026,0.579,0.974,97.4,113.5
AAPL,Apple,stock,down,2020-09-01,2020-09-18,17,-20.4,1,0.37,-5.8,-0.2,,,,13.0,0.596,0.231,0.0,0.385,1.0,100.0,-18.0
AAPL,Apple,stock,up,2020-09-18,2020-10-12,24,16.4,1,0.4,6.5,-1.7,,,,17.0,0.502,0.529,0.0,0.176,1.0,100.0,13.3
AAPL,Apple,stock,down,2020-10-12,2020-11-02,21,-12.6,0,-0.0,-6.3,-1.2,,,,16.0,0.658,0.062,0.0,0.5,1.0,100.0,-11.2
AAPL,Apple,stock,up,2020-11-02,2020-12-28,56,25.9,1,0.21,13.2,-0.6,,,,39.0,0.632,0.077,0.0,0.41,1.0,100.0,24.2
AAPL,Apple,stock,up,2021-01-06,2021-01-26,20,13.1,0,0.0,2.8,0.1,,,,14.0,0.637,0.071,0.0,0.429,1.0,100.0,12.2
AAPL,Apple,stock,down,2021-01-26,2021-03-08,41,-18.6,0,-0.0,-0.5,-9.9,,,,29.0,0.593,0.069,0.0,0.379,1.0,100.0,-15.3
AAPL,Apple,stock,up,2021-03-08,2021-04-19,42,15.9,0,0.0,9.1,0.9,,,,30.0,0.598,0.233,0.0,0.3,1.0,100.0,14.4
AAPL,Apple,stock,up,2021-05-12,2021-09-07,118,27.8,2,0.22,11.7,8.9,,,,82.0,0.714,0.0,0.0,0.878,1.0,100.0,26.5
AAPL,Apple,stock,down,2021-09-07,2021-10-04,27,-11.2,1,0.28,-4.7,-1.2,,,,20.0,0.619,0.2,0.0,0.55,1.0,100.0,-9.9
AAPL,Apple,stock,up,2021-10-04,2022-01-03,91,31.0,1,0.1,11.8,-0.1,,,,64.0,0.725,0.016,0.0,0.562,1.0,100.0,29.3
AAPL,Apple,stock,down,2022-01-03,2022-01-27,24,-12.5,0,-0.0,-9.7,-0.9,,,,18.0,0.605,0.056,0.0,0.556,1.0,100.0,-6.4
AAPL,Apple,stock,up,2022-01-27,2022-02-09,13,10.9,1,0.65,6.1,-3.1,,,,10.0,0.622,0.0,0.0,0.0,1.0,100.0,8.2
AAPL,Apple,stock,down,2022-02-09,2022-03-14,33,-14.6,0,-0.0,-8.9,-4.7,,,,23.0,0.586,0.087,0.0,0.087,1.0,100.0,-12.0
AAPL,Apple,stock,up,2022-03-14,2022-03-29,15,18.8,0,0.0,11.0,-0.8,,,,12.0,0.654,0.0,0.0,0.0,1.0,100.0,18.0
AAPL,Apple,stock,down,2022-03-29,2022-05-19,51,-23.1,0,-0.0,-15.6,-10.1,,Rates and Fed tightening; China lockdowns hit supply,high,37.0,0.62,0.054,0.0,0.027,1.0,100.0,-23.0
AAPL,Apple,stock,up,2022-05-19,2022-06-02,14,10.1,0,0.0,7.2,-0.6,,,,10.0,0.65,0.0,0.0,0.1,0.6,60.0,8.9
AAPL,Apple,stock,down,2022-06-02,2022-06-16,14,-14.0,0,-0.0,-12.1,-3.9,,,,11.0,0.655,0.0,0.0,0.091,0.545,54.5,-7.8
AAPL,Apple,stock,up,2022-06-16,2022-08-17,62,34.4,0,0.0,16.9,3.1,,,,43.0,0.635,0.116,0.0,0.07,0.814,81.4,30.7
AAPL,Apple,stock,down,2022-08-17,2022-09-30,44,-20.8,1,0.26,-15.9,-10.5,,,,32.0,0.532,0.406,0.0,0.062,1.0,100.0,-18.4
AAPL,Apple,stock,up,2022-09-30,2022-10-28,28,12.7,1,0.61,8.9,-5.3,,,,21.0,0.552,0.429,0.0,0.095,0.714,71.4,4.2
AAPL,Apple,stock,down,2022-10-28,2022-11-09,12,-13.3,0,-0.0,-3.8,-2.0,,,,9.0,0.737,0.0,0.0,0.333,0.333,33.3,-2.5
AAPL,Apple,stock,up,2022-11-09,2022-11-18,9,12.2,1,0.74,5.9,5.3,,,,8.0,0.64,0.0,0.0,0.0,0.75,75.0,-1.1
AAPL,Apple,stock,down,2022-11-18,2023-01-05,48,-17.4,1,0.25,-3.8,4.1,,,,32.0,0.578,0.156,0.0,0.062,0.594,59.4,-14.1
AAPL,Apple,stock,up,2023-01-05,2023-07-31,207,57.6,4,0.3,21.6,-1.6,,,,142.0,0.673,0.063,0.0,0.352,0.958,95.8,39.5
AAPL,Apple,stock,down,2023-07-31,2023-08-17,17,-11.3,1,0.41,-4.7,-6.4,,,,14.0,0.58,0.643,0.071,0.286,1.0,100.0,-11.1
AAPL,Apple,stock,down,2023-09-05,2023-10-26,51,-12.0,2,0.48,-7.8,-9.1,,,,38.0,0.594,0.395,0.0,0.158,1.0,100.0,-11.3
AAPL,Apple,stock,up,2023-10-26,2023-12-14,49,18.9,0,0.0,14.4,18.0,,,,35.0,0.64,0.029,0.0,0.143,1.0,100.0,18.5
AAPL,Apple,stock,down,2024-01-23,2024-04-19,87,-15.4,3,0.58,2.4,-4.1,"{'Fed / rates': 12, 'AI / product': 5, 'earnings / guidance': 2}",,,62.0,0.585,0.161,0.0,0.113,0.887,88.7,-9.1
AAPL,Apple,stock,up,2024-04-19,2024-07-16,88,42.5,2,0.36,14.4,6.7,"{'AI / product': 13, 'Fed / rates': 10, 'earnings / guidance': 8}",,,60.0,0.573,0.083,0.0,0.033,0.967,96.7,31.9
AAPL,Apple,stock,down,2024-07-16,2024-08-06,21,-11.7,1,0.39,-7.6,2.9,"{'macro sell-off': 7, 'earnings / guidance': 6, 'Fed / rates': 4}",,,16.0,0.503,0.5,0.0,0.125,1.0,100.0,-10.6
AAPL,Apple,stock,up,2024-08-06,2024-12-26,142,25.3,1,0.16,15.9,-7.5,"{'earnings / guidance': 10, 'Fed / rates': 9, 'AI / product': 8}",,,100.0,0.541,0.36,0.09,0.05,1.0,100.0,23.6
AAPL,Apple,stock,down,2024-12-26,2025-01-21,26,-14.0,2,0.45,0.3,0.2,"{'AI / product': 2, 'Fed / rates': 1}",,,16.0,0.558,0.312,0.0,0.125,1.0,100.0,-13.6
AAPL,Apple,stock,up,2025-01-21,2025-02-24,34,11.1,0,0.0,-1.0,2.5,"{'AI / product': 5, 'tariffs': 2, 'Fed / rates': 2}",,,24.0,0.528,0.25,0.0,0.25,1.0,100.0,11.1
AAPL,Apple,stock,down,2025-02-24,2025-04-08,43,-30.2,3,0.62,-16.6,-1.0,"{'macro sell-off': 10, 'tariffs': 8, 'geopolitics': 5}",Tariffs on China-made iPhones; Liberation Day,high,32.0,0.572,0.219,0.0,0.438,0.594,59.4,-13.5
AAPL,Apple,stock,up,2025-04-08,2025-05-01,23,23.7,1,0.67,12.5,0.8,"{'tariffs': 7, 'macro sell-off': 7, 'Fed / rates': 4}",,,17.0,0.506,0.588,0.0,0.0,0.529,52.9,7.7
AAPL,Apple,stock,up,2025-05-23,2025-12-02,193,46.9,4,0.45,18.4,7.8,"{'flows': 10, 'AI / product': 8, 'macro sell-off': 7}",,,133.0,0.571,0.158,0.015,0.15,0.902,90.2,45.2
AAPL,Apple,stock,down,2025-12-02,2026-01-20,49,-13.8,2,0.36,-0.3,-2.1,"{'Fed / rates': 3, 'earnings / guidance': 2, 'AI / product': 2}",,,33.0,0.502,0.545,0.0,0.0,1.0,100.0,-13.5
AAPL,Apple,stock,up,2026-01-20,2026-02-06,17,12.7,2,0.58,1.9,1.4,"{'tariffs': 3, 'earnings / guidance': 3, 'geopolitics': 3}",,,14.0,0.589,0.0,0.0,0.357,1.0,100.0,11.4
AAPL,Apple,stock,down,2026-02-25,2026-03-30,33,-10.1,0,-0.0,-8.6,-3.2,"{'geopolitics': 3, 'macro sell-off': 2, 'Fed / rates': 1}",,,24.0,0.516,0.375,0.0,0.208,1.0,100.0,-7.5
AAPL,Apple,stock,up,2026-03-30,2026-06-02,64,27.9,2,0.23,20.2,-0.2,"{'geopolitics': 15, 'earnings / guidance': 5, 'macro sell-off': 4}",,,45.0,0.539,0.311,0.0,0.089,1.0,100.0,25.9
AAPL,Apple,stock,down,2026-06-02,2026-06-25,23,-12.7,2,0.74,-3.1,2.0,"{'flows': 1, 'macro sell-off': 1}",,,17.0,0.515,0.412,0.0,0.118,1.0,100.0,-10.0
AAPL,Apple,stock,up,2026-06-25,2026-07-28,33,23.6,0,0.0,0.9,-3.2,"{'macro sell-off': 5, 'geopolitics': 4, 'Fed / rates': 3}",,,23.0,0.569,0.174,0.0,0.522,1.0,100.0,22.9
AAPL,Apple,stock,down,2026-07-28,2026-08-12,15,-11.0,1,0.65,4.3,-2.1,"{'Fed / rates': 4, 'earnings / guidance': 4, 'geopolitics': 3}",,,12.0,0.506,0.417,0.0,0.5,1.0,100.0,-10.2
MSFT,Microsoft,stock,up,2010-02-08,2010-04-22,73,13.8,1,0.15,,,,,,,,,,,,,
MSFT,Microsoft,stock,down,2010-04-22,2010-05-26,34,-20.0,4,0.61,,,,,,6.0,0.424,1.0,0.0,0.0,0.0,0.0,0.0
MSFT,Microsoft,stock,down,2010-06-15,2010-06-30,15,-13.4,0,-0.0,,,,,,12.0,0.385,1.0,0.333,0.0,0.083,8.3,-0.7
MSFT,Microsoft,stock,up,2010-06-30,2010-08-02,33,14.4,0,0.0,,,,,,23.0,0.38,1.0,0.217,0.0,0.652,65.2,1.0
MSFT,Microsoft,stock,down,2010-08-02,2010-08-31,29,-10.4,0,-0.0,,,,,,22.0,0.445,1.0,0.045,0.0,0.364,36.4,-8.5
MSFT,Microsoft,stock,up,2010-08-31,2010-11-02,63,16.7,1,0.33,,,,,,45.0,0.391,1.0,0.133,0.0,0.711,71.1,4.1
MSFT,Microsoft,stock,up,2010-11-23,2011-01-27,65,14.9,3,0.66,,,,,,45.0,0.485,0.556,0.0,0.089,0.978,97.8,11.0
MSFT,Microsoft,stock,down,2011-01-27,2011-03-17,49,-13.7,2,0.43,,,,,,35.0,0.41,0.886,0.057,0.086,0.943,94.3,-13.6
MSFT,Microsoft,stock,down,2011-04-28,2011-06-10,43,-10.6,1,0.27,,,,,,31.0,0.512,0.387,0.0,0.226,0.29,29.0,-4.7
MSFT,Microsoft,stock,up,2011-06-10,2011-07-26,46,18.4,2,0.42,,,,,,32.0,0.468,0.656,0.094,0.062,0.875,87.5,8.2
MSFT,Microsoft,stock,down,2011-07-26,2011-08-22,27,-14.1,1,0.32,,,,,,20.0,0.377,0.95,0.25,0.0,0.85,85.0,-18.3
MSFT,Microsoft,stock,up,2011-08-22,2011-09-19,28,13.5,0,0.0,,,,,,20.0,0.483,0.5,0.2,0.0,0.65,65.0,8.5
MSFT,Microsoft,stock,down,2011-09-19,2011-10-03,14,-9.8,0,-0.0,,,,,,11.0,0.336,1.0,0.182,0.0,0.727,72.7,-11.2
MSFT,Microsoft,stock,up,2011-10-03,2011-10-18,15,11.3,0,0.0,,,,,,12.0,0.535,0.25,0.083,0.0,0.917,91.7,7.1
MSFT,Microsoft,stock,down,2011-10-18,2011-11-25,38,-10.4,1,0.33,,,,,,28.0,0.395,0.893,0.107,0.0,0.964,96.4,-10.4
MSFT,Microsoft,stock,up,2011-11-25,2012-03-15,111,36.1,3,0.41,,,,,,76.0,0.496,0.539,0.053,0.0,0.974,97.4,29.5
MSFT,Microsoft,stock,down,2012-04-20,2012-06-01,42,-11.7,0,-0.0,,,,,,30.0,0.428,0.767,0.367,0.0,1.0,100.0,-11.4
MSFT,Microsoft,stock,up,2012-06-01,2012-06-20,19,8.7,1,0.35,,,,,,14.0,0.443,0.786,0.5,0.0,1.0,100.0,5.9
MSFT,Microsoft,stock,up,2012-07-12,2012-09-20,70,10.6,1,0.31,,,,,,50.0,0.468,0.68,0.28,0.0,1.0,100.0,9.7
MSFT,Microsoft,stock,down,2012-09-20,2012-10-25,35,-11.4,1,0.25,,,,,,26.0,0.419,0.808,0.154,0.0,0.769,76.9,-9.1
MSFT,Microsoft,stock,down,2012-11-06,2012-12-04,28,-11.0,0,-0.0,,,,,,20.0,0.497,0.5,0.3,0.0,0.35,35.0,2.3
MSFT,Microsoft,stock,up,2012-12-04,2013-06-07,185,37.3,2,0.22,,,,,,128.0,0.531,0.352,0.023,0.016,0.805,80.5,32.5
MSFT,Microsoft,stock,up,2013-06-21,2013-07-16,25,9.0,0,0.0,,,,,,17.0,0.455,0.765,0.471,0.0,1.0,100.0,7.4
MSFT,Microsoft,stock,down,2013-07-16,2013-07-25,9,-13.5,1,0.84,,,,,,8.0,0.594,0.25,0.125,0.0,1.0,100.0,-12.8
MSFT,Microsoft,stock,up,2013-07-25,2013-08-23,29,11.5,1,0.65,,,,,,22.0,0.551,0.227,0.273,0.0,1.0,100.0,9.6
MSFT,Microsoft,stock,down,2013-08-23,2013-09-06,14,-10.4,0,-0.0,,,,,,10.0,0.577,0.2,0.0,0.0,1.0,100.0,-8.9
MSFT,Microsoft,stock,up,2013-09-06,2013-12-04,89,26.0,2,0.43,,,,,,63.0,0.57,0.222,0.111,0.016,1.0,100.0,22.9
MSFT,Microsoft,stock,down,2013-12-04,2014-01-13,40,-10.2,1,0.28,,,,,,27.0,0.454,0.741,0.259,0.0,1.0,100.0,-8.1
MSFT,Microsoft,stock,up,2014-01-13,2014-09-19,249,38.7,3,0.29,,,,,,174.0,0.573,0.218,0.052,0.011,1.0,100.0,37.4
MSFT,Microsoft,stock,down,2014-09-19,2014-10-16,27,-10.1,1,0.38,,,,,,20.0,0.662,0.1,0.0,0.05,1.0,100.0,-8.2
MSFT,Microsoft,stock,up,2014-10-16,2014-11-13,28,16.1,0,0.0,,,,,,21.0,0.589,0.238,0.0,0.0,1.0,100.0,16.0
MSFT,Microsoft,stock,down,2014-12-23,2015-01-30,38,-16.6,1,0.53,,,,,,26.0,0.593,0.077,0.0,0.0,1.0,100.0,-14.8
MSFT,Microsoft,stock,up,2015-01-30,2015-02-23,24,10.1,0,0.0,,,,,,16.0,0.606,0.062,0.0,0.125,0.375,37.5,4.0
MSFT,Microsoft,stock,down,2015-02-23,2015-04-02,38,-8.7,1,0.37,,,,,,29.0,0.559,0.103,0.069,0.0,0.759,75.9,-3.3
MSFT,Microsoft,stock,up,2015-04-02,2015-04-28,26,22.0,1,0.5,,,,,,18.0,0.456,0.778,0.167,0.0,0.889,88.9,22.9
MSFT,Microsoft,stock,down,2015-04-28,2015-06-30,63,-9.6,0,-0.0,,,,,,45.0,0.549,0.2,0.022,0.133,1.0,100.0,-9.0
MSFT,Microsoft,stock,down,2015-08-18,2015-08-25,7,-14.4,1,0.38,,,,,,6.0,0.681,0.167,0.0,0.0,0.667,66.7,-11.5
MSFT,Microsoft,stock,up,2015-08-25,2015-12-29,126,40.7,3,0.53,,,,,,88.0,0.574,0.193,0.057,0.068,0.875,87.5,36.6
MSFT,Microsoft,stock,down,2015-12-29,2016-01-21,23,-10.7,1,0.31,,,,,,16.0,0.622,0.062,0.0,0.0,1.0,100.0,-7.5
MSFT,Microsoft,stock,up,2016-01-21,2016-01-29,8,9.1,1,0.65,3.8,1.2,,,,7.0,0.5,0.571,0.0,0.0,1.0,100.0,8.4
MSFT,Microsoft,stock,down,2016-01-29,2016-02-09,11,-10.5,0,-0.0,-4.3,3.6,,,,8.0,0.627,0.25,0.0,0.25,1.0,100.0,-9.8
MSFT,Microsoft,stock,up,2016-02-09,2016-04-18,69,15.4,0,0.0,12.8,0.2,,,,48.0,0.579,0.167,0.0,0.146,1.0,100.0,15.2
MSFT,Microsoft,stock,down,2016-04-18,2016-05-03,15,-11.8,1,0.59,-1.5,-1.2,,,,12.0,0.724,0.083,0.0,0.0,0.917,91.7,-11.8
MSFT,Microsoft,stock,up,2016-06-27,2018-01-31,583,103.2,9,0.38,45.6,-8.5,,Azure-led cloud re-rating under Nadella; 2017 tax cuts,high,403.0,0.552,0.3,0.067,0.099,0.98,98.0,86.7
MSFT,Microsoft,stock,down,2018-01-31,2018-02-08,8,-10.5,2,0.85,-8.6,-3.1,,,,7.0,0.607,0.286,0.0,0.0,1.0,100.0,-7.2
MSFT,Microsoft,stock,up,2018-02-08,2018-03-12,32,14.4,0,0.0,8.1,0.1,,,,22.0,0.575,0.227,0.045,0.318,1.0,100.0,11.6
MSFT,Microsoft,stock,down,2018-03-12,2018-03-23,11,-9.9,0,-0.0,-7.0,1.3,,,,10.0,0.6,0.2,0.0,0.0,1.0,100.0,-3.1
MSFT,Microsoft,stock,up,2018-03-23,2018-10-01,192,33.7,3,0.42,13.6,-1.8,,,,133.0,0.578,0.188,0.045,0.158,1.0,100.0,33.2
MSFT,Microsoft,stock,down,2018-10-01,2018-10-24,23,-11.5,3,1.08,-9.1,-1.2,,,,18.0,0.698,0.0,0.0,0.611,1.0,100.0,-6.3
MSFT,Microsoft,stock,up,2018-10-24,2018-11-07,14,9.4,1,0.63,6.0,-1.7,,,,11.0,0.686,0.0,0.0,0.182,1.0,100.0,9.2
MSFT,Microsoft,stock,down,2018-11-07,2018-11-20,13,-8.8,0,-0.0,-6.0,2.3,,,,10.0,0.71,0.0,0.0,0.5,1.0,100.0,-7.5
MSFT,Microsoft,stock,up,2018-11-20,2018-12-03,13,10.2,0,0.0,5.7,0.9,,,,9.0,0.607,0.222,0.0,0.444,1.0,100.0,6.7
MSFT,Microsoft,stock,down,2018-12-03,2018-12-24,21,-16.0,0,-0.0,-15.6,5.0,,,,15.0,0.716,0.067,0.0,0.733,1.0,100.0,-10.3
MSFT,Microsoft,stock,up,2018-12-24,2019-04-30,127,39.3,4,0.43,25.9,2.6,,,,87.0,0.547,0.345,0.057,0.069,0.966,96.6,29.2
MSFT,Microsoft,stock,up,2019-06-03,2020-02-10,252,58.5,1,0.04,23.7,10.9,,,,175.0,0.629,0.126,0.006,0.423,1.0,100.0,54.9
MSFT,Microsoft,stock,down,2020-02-10,2020-02-27,17,-15.9,1,0.42,-11.1,4.9,,,,13.0,0.54,0.538,0.0,0.462,1.0,100.0,-13.9
MSFT,Microsoft,stock,up,2020-02-27,2020-03-02,4,9.2,1,0.73,3.8,1.5,,,,3.0,0.672,0.0,0.0,0.667,1.0,100.0,4.0
MSFT,Microsoft,stock,down,2020-03-02,2020-03-09,7,-12.8,0,-0.0,-10.5,11.3,,,,6.0,0.675,0.0,0.0,0.667,1.0,100.0,-6.9
MSFT,Microsoft,stock,down,2020-03-10,2020-03-12,2,-13.6,0,-0.0,-11.5,-3.1,,,,3.0,0.661,0.0,0.0,0.667,1.0,100.0,-1.3
MSFT,Microsoft,stock,up,2020-03-12,2020-03-13,1,14.2,1,1.0,5.9,-2.3,,,,,,,,,,,
MSFT,Microsoft,stock,down,2020-03-13,2020-03-16,3,-14.7,1,1.0,-10.8,6.5,,,,,,,,,,,
MSFT,Microsoft,stock,up,2020-03-23,2020-09-02,163,71.2,3,0.25,61.4,0.4,,,,115.0,0.566,0.33,0.0,0.53,1.0,100.0,60.6
MSFT,Microsoft,stock,down,2020-09-02,2020-09-18,16,-13.5,2,0.82,-7.2,-1.1,,,,12.0,0.665,0.083,0.0,0.5,1.0,100.0,-12.6
MSFT,Microsoft,stock,up,2020-09-18,2020-10-13,25,11.2,0,0.0,5.9,-1.0,,,,18.0,0.641,0.167,0.0,0.278,1.0,100.0,10.2
MSFT,Microsoft,stock,down,2020-10-13,2020-11-02,20,-9.2,1,0.53,-5.7,-1.9,,,,15.0,0.667,0.133,0.0,0.867,1.0,100.0,-7.4
MSFT,Microsoft,stock,up,2020-11-02,2021-02-12,102,21.4,3,0.55,19.4,-6.9,,,,71.0,0.628,0.183,0.0,0.69,1.0,100.0,20.8
MSFT,Microsoft,stock,up,2021-03-04,2021-04-27,54,15.5,0,0.0,11.2,0.1,,,,38.0,0.606,0.263,0.0,0.711,1.0,100.0,12.3
MSFT,Microsoft,stock,down,2021-04-27,2021-05-12,15,-8.8,0,-0.0,-2.9,-2.0,,,,12.0,0.736,0.0,0.0,0.917,1.0,100.0,-7.2
